path,line,current_call,classification,rationale,migrated_to,date_migrated
wheeler_memory/__init__.py,27,recall_memory (re-export),BOTH,public API surface; both kinds of caller import from here,kept (also exports BasinSeed/Pattern/recognize/recognize_from_seed),2026-04-28
wheeler_memory/agent.py,251,recall_memory (default mode in _exec_recall_memory),BOTH,LLM tool harness — downstream may need text or just identity; ambiguous,deferred,
wheeler_memory/agent.py,313,recall_memory (polar_decay path),RECONSTRUCTION,polar firing depends on full pipeline,kept,
wheeler_memory/agent.py,673,recall_memory (auto-context block),RECONSTRUCTION,context block needs text excerpts for chat prompt,kept,
wheeler_memory/decoder.py,503,recall_memory (run),RECONSTRUCTION,extract_state needs text/similarity/chunk,kept,
wheeler_memory/decoder.py,576,recall_memory (run_stream),RECONSTRUCTION,same as run; streaming variant,kept,
wheeler_memory/interference.py,197,recall_memory (recall_with_interference internal),RECONSTRUCTION,interference re-rank operates on attractor content,kept,
wheeler_memory/theories/structured.py,61,recall_memory (build_theory),RECOGNITION_ONLY,measure_basin_width needs the file not a re-evolved attractor,recognize_top_k(k=top_k threshold=0.0),2026-04-28
scripts/wheeler_recall.py,138,recall_memory (--no-interference branch default),RECONSTRUCTION,CLI prints text/sim/state/ticks,kept (default unchanged); --recognize flag added for fast path,2026-04-28
scripts/wheeler_primary.py,97,recall_memory (debug pipeline),RECONSTRUCTION,_run_with_state needs full hits,deferred,
scripts/wheeler_mmlu.py,1161,recall_memory (score_decode),RECONSTRUCTION,decoder feeder; extract_state needs text and structural features,deferred,
scripts/wheeler_ui.py,248,recall_memory (HTTP UI),RECONSTRUCTION,HTTP JSON response with full content,deferred,
scripts/bench/scm_ab_eval.py,301,recall_memory (warmup_hits),RECOGNITION_ONLY,already used readonly=True; only consumes hex_key/chunk,recognize_top_k(k=top_k threshold=0.0),2026-04-28
scripts/bench/scm_ab_eval.py,342,recall_memory (pearson_hits),RECOGNITION_ONLY,same shape as warmup_hits; downstream loads attractor by path,recognize_top_k(k=top_k threshold=0.0),2026-04-28
scripts/bench/eval_decoder.py,99,recall_memory,RECONSTRUCTION,decoder feeder,deferred,
scripts/bench/apple_test_semantic.py,140,recall_memory,RECONSTRUCTION,semantic eval consumes text,deferred,
scripts/exploration/test_eviction.py,41,recall_memory,RECONSTRUCTION,exploration script — leave on existing API,deferred,
scripts/exploration/test_eviction.py,169,recall_memory,RECONSTRUCTION,same,deferred,
scripts/exploration/test_eviction.py,208,recall_memory,RECONSTRUCTION,same,deferred,
scripts/exploration/test_eviction.py,294,recall_memory,RECONSTRUCTION,same,deferred,
scripts/exploration/test_warming.py,27,recall_memory,RECONSTRUCTION,warming exploration,deferred,
scripts/exploration/test_warming.py,182,recall_memory,RECONSTRUCTION,same,deferred,
scripts/tools/topology_map.py,76,recall_memory,RECOGNITION_ONLY (likely),topology map probably only needs hex_keys; verify before migrating,deferred,
wheeler_memory/agent.py,241,recall_with_interference,RECONSTRUCTION,default agent recall path with three-grid scoring,kept,
wheeler_memory/decoder.py,492,recall_with_interference (run),RECONSTRUCTION,interference branch in run,kept,
wheeler_memory/decoder.py,566,recall_with_interference (run_stream),RECONSTRUCTION,interference branch in run_stream,kept,
scripts/wheeler_recall.py,102,recall_with_interference (default),RECONSTRUCTION,default CLI path; unchanged,kept,
scripts/wheeler_mmlu.py,512,recall_with_interference (score_semantic_interference),RECONSTRUCTION,per-choice scoring,deferred,
scripts/wheeler_ui.py,242,recall_with_interference (UI default),RECONSTRUCTION,HTTP UI default,deferred,
tests/test_storage.py,*,recall_memory,RECONSTRUCTION,verifies the original API contract,kept (must keep),
tests/test_eviction.py,*,recall_memory,RECONSTRUCTION,eviction tests use full pipeline,kept,
tests/test_warming.py,*,recall_memory,RECONSTRUCTION,warming tests use full pipeline,kept,
tests/test_datasets.py,*,recall_memory,RECONSTRUCTION,dataset eval uses full pipeline,kept,
tests/test_decoder.py,*,recall_memory (mocked),RECONSTRUCTION,mocked tests verify decoder behavior,kept,
tests/test_interference.py,*,recall_memory (mocked),RECONSTRUCTION,mocked tests verify interference behavior,kept,
